iteration,action_loss,weighted_action_loss,actual_final_position_mse,actual_final_velocity_mse,state_error_weight_mean,state_error_weight_min,state_error_weight_max,batch_time_seconds,batch_size,action_abs,step_limit,grad_norm,grad_clip_amount,grad_clip_fraction
10800,0.023797350004315376,0.022041872143745422,0.0005917216185480356,0.9310591220855713,1.0,1.0,1.0,0.22563889995217323,64.0,0.11263201634089152,1.546875,0.0,0.0,0.0
11000,0.023494914174079895,0.022513849660754204,0.0007050142739899457,0.9538789391517639,1.0,1.0,1.0,0.22133459988981485,64.0,0.11869737009207408,1.5,0.0,0.0,0.0
11200,0.022942526265978813,0.021964341402053833,0.0006263700779527426,0.7563585042953491,1.0,1.0,1.0,0.21599489985965192,64.0,0.11148155108094215,1.484375,0.0,0.0,0.0
11400,0.0241173654794693,0.022394930943846703,0.0005730279954150319,0.9968941807746887,1.0,1.0,1.0,0.23216199991293252,64.0,0.11517232408126195,1.5,0.0,0.0,0.0
11600,0.02298508957028389,0.021806197240948677,0.0007546014385297894,0.9046486616134644,1.0,1.0,1.0,0.24438180006109178,64.0,0.11072266101837158,1.59375,0.0,0.0,0.0
11800,0.022623000666499138,0.021757613867521286,0.0006786354933865368,0.9264350533485413,1.0,1.0,1.0,0.23926750011742115,64.0,0.10949860016504924,1.625,0.0,0.0,0.0
12000,0.023185646161437035,0.0220528282225132,0.0007764634792692959,0.9190356135368347,1.0,1.0,1.0,0.23420259985141456,64.0,0.10806167870759964,1.515625,0.0,0.0,0.0
12200,0.022176217287778854,0.02098780870437622,0.000620488659478724,0.8528808951377869,1.0,1.0,1.0,0.1984047000296414,64.0,0.11637549102306366,1.390625,0.0,0.0,0.0
12400,0.022604482248425484,0.021675270050764084,0.0006134602008387446,1.0909241437911987,1.0,1.0,1.0,0.2204374000430107,64.0,0.11363526433706284,1.546875,0.0,0.0,0.0
12600,0.022129319608211517,0.021406371146440506,0.0005761209176853299,1.0397089719772339,1.0,1.0,1.0,0.21569689991883934,64.0,0.11851473897695541,1.46875,0.0,0.0,0.0
12800,0.02382011152803898,0.02246537059545517,0.0007206997252069414,0.6641062498092651,1.0,1.0,1.0,0.23776990012265742,64.0,0.111116627852122,1.625,0.0,0.0,0.0
13000,0.022352002561092377,0.021154023706912994,0.0006661734078079462,0.8480753898620605,1.0,1.0,1.0,0.21942820004187524,64.0,0.11588545391956966,1.515625,0.0,0.0,0.0
13200,0.023167409002780914,0.02175312489271164,0.0006916668498888612,0.9096556901931763,1.0,1.0,1.0,0.24447080004028976,64.0,0.11326969414949417,1.59375,0.0,0.0,0.0
13400,0.02262907661497593,0.021783480420708656,0.0004227561876177788,0.851184606552124,1.0,1.0,1.0,0.23093640012666583,64.0,0.11759630963206291,1.515625,0.0,0.0,0.0
13600,0.021647458896040916,0.020515060052275658,0.000535897328518331,0.641427755355835,1.0,1.0,1.0,0.23118839995004237,64.0,0.11281313747167587,1.515625,0.0,0.0,0.0
13800,0.023843195289373398,0.022359566763043404,0.0005656794528476894,0.8114708065986633,1.0,1.0,1.0,0.23397219995968044,64.0,0.11347554624080658,1.515625,0.0,0.0,0.0
14000,0.021617427468299866,0.021110517904162407,0.0006993983406573534,0.8326300978660583,1.0,1.0,1.0,0.22939030011184514,64.0,0.11962396899859111,1.5,0.0,0.0,0.0
14200,0.022219931706786156,0.020677613094449043,0.0007177205407060683,0.8440797924995422,1.0,1.0,1.0,0.24550119997002184,64.0,0.11326635380585988,1.609375,0.0,0.0,0.0
14400,0.021856369450688362,0.02095707505941391,0.0005210249219089746,0.800547182559967,1.0,1.0,1.0,0.22980710002593696,64.0,0.11512022092938423,1.53125,0.0,0.0,0.0
14600,0.02174026146531105,0.019778462126851082,0.0005694801220670342,0.9912620186805725,1.0,1.0,1.0,0.2314331999514252,64.0,0.11081959803899129,1.515625,0.0,0.0,0.0
14800,0.02170349471271038,0.020955633372068405,0.0004868533869739622,0.84415203332901,1.0,1.0,1.0,0.22981290007010102,64.0,0.11608323951562245,1.484375,0.0,0.0,0.0
15000,0.021830812096595764,0.020557885989546776,0.000555691309273243,0.7379980087280273,1.0,1.0,1.0,0.2325436999090016,64.0,0.11773887028296788,1.53125,0.0,0.0,0.0
15200,0.02344568260014057,0.02249646931886673,0.0006745833088643849,0.8842185735702515,1.0,1.0,1.0,0.23991869995370507,64.0,0.1134079893430074,1.671875,0.0,0.0,0.0
15400,0.02149708941578865,0.02049039863049984,0.0004407138330861926,0.6889329552650452,1.0,1.0,1.0,0.20950610004365444,64.0,0.10511991133292516,1.4375,0.0,0.0,0.0
15600,0.02065216563642025,0.019573504105210304,0.0004096800403203815,0.8881333470344543,1.0,1.0,1.0,0.22383370017632842,64.0,0.11650983492533366,1.46875,0.0,0.0,0.0
15800,0.024298623204231262,0.02334740199148655,0.0008302710484713316,1.0095024108886719,1.0,1.0,1.0,0.2479121999349445,64.0,0.11615211019913356,1.6875,0.0,0.0,0.0
16000,0.02166314236819744,0.020710540935397148,0.0006146202213130891,0.8555302023887634,1.0,1.0,1.0,0.2206382998265326,64.0,0.11712145060300827,1.515625,0.0,0.0,0.0
16200,0.02625257708132267,0.024157961830496788,0.001553479116410017,1.0002989768981934,1.0018147230148315,0.6966385841369629,1.0490227937698364,0.260452400194481,64.0,0.10655937902629375,2.046875,0.0,0.0,0.0
16400,0.024670938029885292,0.022985147312283516,0.0015139320166781545,1.053001880645752,1.0012292861938477,0.7711441516876221,1.0483442544937134,0.2919397000223398,64.0,0.09771457128226757,1.984375,0.0,0.0,0.0
16600,0.023967966437339783,0.02272789180278778,0.0012916082050651312,1.0274943113327026,1.0012481212615967,0.7914925813674927,1.0473949909210205,0.28240550006739795,64.0,0.09637249261140823,1.96875,0.0,0.0,0.0
16800,0.02584170550107956,0.02386411465704441,0.0012705451808869839,0.9378445148468018,1.0009092092514038,0.8515422344207764,1.0487734079360962,0.27678640000522137,64.0,0.11190853267908096,1.984375,0.0,0.0,0.0
17000,0.026851318776607513,0.023905424401164055,0.0020686073694378138,0.8616783022880554,1.0017518997192383,0.7513661980628967,1.0491623878479004,0.3967720998916775,64.0,0.10009265318512917,2.078125,0.0,0.0,0.0
17200,0.026059836149215698,0.02429693005979061,0.001279399381019175,0.7126015424728394,1.000840425491333,0.8725312352180481,1.0481690168380737,0.3127075000666082,64.0,0.1027891281992197,2.0625,0.0,0.0,0.0
17400,0.025825979188084602,0.02386523224413395,0.0017597960541024804,0.8372606635093689,1.0013573169708252,0.7822763919830322,1.0455937385559082,0.3235500000882894,64.0,0.10373043827712536,2.109375,0.0,0.0,0.0
